Age,Clone number,Location,Type.Clones
654,1598,Colon,Full Clones
673,1667,Colon,Full Clones
546,1531,Colon,Full Clones
676,2066,Colon,Full Clones
421,904,Colon,Full Clones
186,493,Colon,Full Clones
445,1190,Colon,Full Clones
719,2646,Colon,Full Clones
30,196,Colon,Full Clones
645,1922,Colon,Full Clones
118,318,Colon,Full Clones
427,1399,Colon,Full Clones
546,1802,Colon,Full Clones
616,1821,Colon,Full Clones
405,777,Colon,Full Clones
357,1762,Colon,Full Clones
738,1922,Colon,Full Clones
626,2235,Colon,Full Clones
326,800,Colon,Full Clones
673,2122,Colon,Full Clones
81,430,Colon,Full Clones
64,756,Colon,Full Clones
432,938,Colon,Full Clones
91,389,Colon,Full Clones
759,1776,Colon,Full Clones
373,2055,Colon,Full Clones
512,2428,Colon,Full Clones
370,1420,Colon,Full Clones
626,2071,Colon,Full Clones
731,2277,Colon,Full Clones
553,1557,Colon,Full Clones
112,332,Colon,Full Clones
74,325,Colon,Full Clones
667,1739,Colon,Full Clones
265,1080,Colon,Full Clones
179,685,Colon,Full Clones
507,1613,Colon,Full Clones
738,1963,Colon,Full Clones
560,1722,Colon,Full Clones
676,2161,Colon,Full Clones
726,3347,Colon,Full Clones
434,1942,Colon,Full Clones
420,1364,Colon,Full Clones
110,462,Colon,Full Clones
494,1024,Colon,Full Clones
147,539,Colon,Full Clones
713,1946,Colon,Full Clones
462,1655,Colon,Full Clones
363,912,Colon,Full Clones
112,565,Colon,Full Clones
244,895,Colon,Full Clones
540,1654,Colon,Full Clones
65,428,Colon,Full Clones
494,2096,Colon,Full Clones
654,383.1417624521,Colon,Partial Clones
673,452.4886877828,Colon,Partial Clones
546,109.7665452988,Colon,Partial Clones
676,139.3958724646,Colon,Partial Clones
421,230.1040861452,Colon,Partial Clones
186,158.6042823156,Colon,Partial Clones
445,296.1275626424,Colon,Partial Clones
719,132.0607479441,Colon,Partial Clones
30,229.3099854075,Colon,Partial Clones
118,77.6645803828,Colon,Partial Clones
427,327.8584160937,Colon,Partial Clones
546,265.362235437,Colon,Partial Clones
616,121.4574898785,Colon,Partial Clones
405,171.493902439,Colon,Partial Clones
357,273.9726027397,Colon,Partial Clones
326,155.5582146703,Colon,Partial Clones
673,186.5775549986,Colon,Partial Clones
81,135.0894967916,Colon,Partial Clones
64,136.2281822052,Colon,Partial Clones
432,133.3225597931,Colon,Partial Clones
759,277.5149795017,Colon,Partial Clones
373,136.3703376087,Colon,Partial Clones
512,347.3091364205,Colon,Partial Clones
370,391.9191919192,Colon,Partial Clones
626,74.1721854305,Colon,Partial Clones
731,206.0415575345,Colon,Partial Clones
553,163.3259094284,Colon,Partial Clones
112,252.2585018998,Colon,Partial Clones
667,283.0904035723,Colon,Partial Clones
265,269.0872560276,Colon,Partial Clones
179,243.4867299732,Colon,Partial Clones
738,263.0021697679,Colon,Partial Clones
560,383.0707445165,Colon,Partial Clones
676,141.7922540917,Colon,Partial Clones
726,346.6773710908,Colon,Partial Clones
434,251.9614722205,Colon,Partial Clones
420,225.8826800111,Colon,Partial Clones
494,225.1985302833,Colon,Partial Clones
147,127.7676950998,Colon,Partial Clones
713,218.3536731275,Colon,Partial Clones
363,305.9039461609,Colon,Partial Clones
244,304.5341755019,Colon,Partial Clones
540,305.4187192118,Colon,Partial Clones
65,148.7940759196,Colon,Partial Clones
494,239.5030312102,Colon,Partial Clones
112,292.7305252887,Colon,Partial Clones
30,60.1144013863,Proximal SI,Full Clones
64,45.8499005964,Proximal SI,Full Clones
65,233.8971323853,Proximal SI,Full Clones
74,72.732079275,Proximal SI,Full Clones
81,96.9909116599,Proximal SI,Full Clones
91,73.9598713316,Proximal SI,Full Clones
112,213.7665829878,Proximal SI,Full Clones
